Tarih;Acilis;Kapanis
28 Ađustos 2022;1.027.15;1.015.90
29 Ađustos 2022;1.015.84;1.016.07
30 Ađustos 2022;1.007.09;1.008.29
31 Ađustos 2022;1.000.77;1.000.64
1 Eylül 2022;992.79;993.58
2 Eylül 2022;992.79;1.002.70
3 Eylül 2022;992.79;1.002.68
4 Eylül 2022;0;1.002.68
5 Eylül 2022;1.001.82;1.001.83
6 Eylül 2022;997.4;997.5
7 Eylül 2022;1.007.11;1.006.96
8 Eylül 2022;1.001.52;1.001.87
9 Eylül 2022;1.001.52;1.007.13
10 Eylül 2022;1.001.52;1.007.11
11 Eylül 2022;1.001.52;1.007.11
12 Eylül 2022;1.010.94;1.010.97
13 Eylül 2022;998.99;998.85
14 Eylül 2022;995.49;995.59
15 Eylül 2022;977.9;977.7
16 Eylül 2022;977.9;983.58
17 Eylül 2022;977.9;983.47
18 Eylül 2022;977.9;983.47
19 Eylül 2022;984.61;984.96
20 Eylül 2022;979.99;980.12
21 Eylül 2022;986.55;986.66
22 Eylül 2022;983.84;984.57
23 Eylül 2022;983.84;973.12
24 Eylül 2022;983.84;973.15
25 Eylül 2022;983.84;973.15
26 Eylül 2022;962.99;963.36
27 Eylül 2022;965.91;965.92
28 Eylül 2022;987.51;988.09
29 Eylül 2022;987.9;987.73
30 Eylül 2022;987.9;987.97
1 Ekim 2022;987.9;988.22
2 Ekim 2022;987.9;988.22
3 Ekim 2022;1.013.88;1.013.88
4 Ekim 2022;1.030.44;1.031.60
5 Ekim 2022;1.025.35;1.025.53
6 Ekim 2022;1.023.08;1.022.98
7 Ekim 2022;1.023.08;1.012.86
8 Ekim 2022;1.023.08;1.014.53
9 Ekim 2022;1.023.08;1.014.53
10 Ekim 2022;996.64;996.64
11 Ekim 2022;995.94;995.86
12 Ekim 2022;998.84;998.52
13 Ekim 2022;994.39;994.31
14 Ekim 2022;994.39;981.8
15 Ekim 2022;994.39;981.97
16 Ekim 2022;0;981.97
17 Ekim 2022;986.4;986.05
18 Ekim 2022;987.38;987.37
19 Ekim 2022;973.2;973.31
20 Ekim 2022;973.28;973.13
21 Ekim 2022;973.28;991.19
22 Ekim 2022;973.28;990.47
23 Ekim 2022;973.28;990.47
24 Ekim 2022;986.3;986.75
25 Ekim 2022;988.34;988.79
26 Ekim 2022;995.37;995.65
27 Ekim 2022;994.34;994.54
28 Ekim 2022;994.34;983.18
29 Ekim 2022;994.34;982.72
30 Ekim 2022;994.34;982.72
31 Ekim 2022;976.94;977.19
1 Kasým 2022;984.63;983.86
2 Kasým 2022;979.46;979.63
3 Kasým 2022;975.37;975.58
4 Kasým 2022;975.37;1.003.61
5 Kasým 2022;975.37;1.004.00
6 Kasým 2022;0;1.004.00
7 Kasým 2022;995.39;994.39
8 Kasým 2022;1.020.11;1.019.84
9 Kasým 2022;1.018.02;1.018.79
10 Kasým 2022;1.043.49;1.043.72
11 Kasým 2022;1.043.49;1.054.39
12 Kasým 2022;1.043.49;1.054.17
13 Kasým 2022;0;1.054.17
14 Kasým 2022;1.060.01;1.059.96
15 Kasým 2022;1.063.49;1.063.45
16 Kasým 2022;1.060.05;1.060.51
17 Kasým 2022;1.053.02;1.053.12
18 Kasým 2022;1.053.02;1.046.80
19 Kasým 2022;1.053.02;1.046.41
20 Kasým 2022;1.053.02;1.046.41
21 Kasým 2022;1.040.74;1.041.28
22 Kasým 2022;1.041.37;1.041.47
23 Kasým 2022;1.047.88;1.047.98
24 Kasým 2022;1.047.88;1.051.76
25 Kasým 2022;1.051.88;1.051.56
26 Kasým 2022;1.051.88;1.051.84
27 Kasým 2022;0;1.051.84
28 Kasým 2022;1.042.20;1.042.10
29 Kasým 2022;1.047.86;1.047.81
30 Kasým 2022;1.060.36;1.060.35
1 Aralýk 2022;1.080.36;1.080.56
2 Aralýk 2022;1.080.36;1.076.97
3 Aralýk 2022;1.080.36;1.077.07
4 Aralýk 2022;1.080.36;1.077.07
5 Aralýk 2022;1.058.80;1.059.03
6 Aralýk 2022;1.061.42;1.061.53
7 Aralýk 2022;1.070.76;1.070.85
8 Aralýk 2022;1.072.11;1.072.13
9 Aralýk 2022;1.072.11;1.076.13
10 Aralýk 2022;1.072.11;1.075.92
11 Aralýk 2022;1.072.11;1.075.92
12 Aralýk 2022;1.066.80;1.066.74
13 Aralýk 2022;1.085.19;1.085.18
14 Aralýk 2022;1.081.90;1.081.66
15 Aralýk 2022;1.065.08;1.065.42
16 Aralýk 2022;1.065.08;1.074.92
17 Aralýk 2022;1.065.08;1.074.86
19 Aralýk 2022;1.071.50;1.071.72
20 Aralýk 2022;1.090.16;1.090.46
21 Aralýk 2022;1.088.60;1.088.96
22 Aralýk 2022;1.075.03;1.074.96
23 Aralýk 2022;1.075.03;1.079.03
24 Aralýk 2022;1.075.03;1.079.77
25 Aralýk 2022;0;1.079.77
26 Aralýk 2022;1.080.25;1.079.44
27 Aralýk 2022;1.088.60;1.088.69
28 Aralýk 2022;1.085.81;1.085.73
29 Aralýk 2022;1.091.55;1.091.72
30 Aralýk 2022;1.091.55;1.096.73
31 Aralýk 2022;1.091.55;1.096.59
1 Ocak 2023;1.091.55;1.096.58
2 Ocak 2023;1.096.63;1.097.63
3 Ocak 2023;1.105.97;1.106.20
4 Ocak 2023;1.117.91;1.117.98
5 Ocak 2023;1.106.06;1.105.97
6 Ocak 2023;1.106.06;1.123.45
7 Ocak 2023;1.106.06;1.122.87
9 Ocak 2023;1.129.02;1.129.19
10 Ocak 2023;1.133.79;1.133.87
11 Ocak 2023;1.132.71;1.132.87
12 Ocak 2023;1.146.37;1.146.68
13 Ocak 2023;1.146.37;1.160.15
14 Ocak 2023;1.146.37;1.160.11
15 Ocak 2023;1.146.37;1.159.98
16 Ocak 2023;1.158.25;1.158.25
17 Ocak 2023;1.152.15;1.152.06
18 Ocak 2023;1.150.84;1.150.85
19 Ocak 2023;1.168.20;1.167.86
20 Ocak 2023;1.168.20;1.165.18
21 Ocak 2023;1.168.20;1.165.45
22 Ocak 2023;1.168.20;1.165.45
23 Ocak 2023;1.167.84;1.167.90
24 Ocak 2023;1.171.18;1.171.08
25 Ocak 2023;1.175.90;1.176.49
26 Ocak 2023;1.166.49;1.166.61
27 Ocak 2023;1.166.49;1.164.73
28 Ocak 2023;1.166.49;1.164.91
29 Ocak 2023;1.166.49;1.164.91
30 Ocak 2023;1.161.47;1.161.42
31 Ocak 2023;1.165.78;1.166.42
1 Ţubat 2023;1.180.80;1.181.02
2 Ţubat 2023;1.155.96;1.156.49
3 Ţubat 2023;1.155.96;1.128.50
4 Ţubat 2023;1.155.96;1.128.47
5 Ţubat 2023;1.155.96;1.128.47
6 Ţubat 2023;1.131.56;1.131.56
